joint_0_0_pos,joint_1_0_pos,joint_2_0_pos,joint_3_0_pos,joint_4_0_pos,joint_5_0_pos,joint_6_0_pos,joint_7_0_pos,joint_8_0_pos,joint_9_0_pos,joint_10_0_pos,joint_11_0_pos,joint_12_0_pos,joint_13_0_pos,joint_14_0_pos,joint_15_0_pos,joint_0_0_vel,joint_1_0_vel,joint_2_0_vel,joint_3_0_vel,joint_4_0_vel,joint_5_0_vel,joint_6_0_vel,joint_7_0_vel,joint_8_0_vel,joint_9_0_vel,joint_10_0_vel,joint_11_0_vel,joint_12_0_vel,joint_13_0_vel,joint_14_0_vel,joint_15_0_vel,joint_0_0_effort,joint_1_0_effort,joint_2_0_effort,joint_3_0_effort,joint_4_0_effort,joint_5_0_effort,joint_6_0_effort,joint_7_0_effort,joint_8_0_effort,joint_9_0_effort,joint_10_0_effort,joint_11_0_effort,joint_12_0_effort,joint_13_0_effort,joint_14_0_effort,joint_15_0_effort
-0.26878070480712674,0.8032703349378703,0.24420646893904657,0.2918190509334519,-0.21348867410394637,0.06450736915371041,0.8293804605477053,0.2488141381643116,0.27031659454888174,1.090481716646057,0.2180963433292114,0.6542890299876343,0.7295476273336297,-0.03686135380212024,0.462302812268258,1.059763921810957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017886138509773754,-0.02969648030758404,-0.018064651647168445,-0.018322648069346494,-0.012810469688602777,-0.04407612778442024,-0.01517325278769268,-0.018855923505646292,0.017355578044408976,-0.02949423209825454,-0.030620413061776312,0.006130545576618955,0.0024913228006782084,-0.016176731541760584,0.017233775736945525,0.016524784261507858
0.20273744591166132,0.13208651779093086,0.7372270760424047,1.853818918298297,-0.11979939985689077,1.093553496129567,1.101232944838342,1.4329851290574243,-0.22423990229623145,1.6295790160020653,0.8140215631301553,0.22577579203798645,0.20580922539517135,1.3055062804917585,0.7449065247511797,1.067443370519732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993651866050868,-0.05100499742328226,-0.0167429672508514,0.0395139440252107,0.009709933030738707,-0.025654710273581877,-0.013228575400277581,0.017033817675760655,0.0003115649368579655,9.090560403254844e-05,-0.01677269074415253,-0.014940655840844266,-0.01270167095209538,-0.016753995987805182,0.020913360922347128,0.01736087124962915
-0.13055062804917586,0.6696479274051843,1.0490126936186719,0.7817678785533,-0.07833037682950551,1.1442378576074823,0.9461080809210862,0.76333720165224,-0.07833037682950551,1.5619998673648452,0.4868770481363382,0.8032703349378703,0.1827708792688462,0.9553234193716161,0.77869609906979,-0.00614355896702004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018173865728386286,-0.031391376408410554,-0.017778804842894576,-0.015348549863975628,0.0056029358278685965,-0.026805470916450566,-0.02245793014030948,-0.016391779818992168,0.016737861563327582,-0.0741114589163611,-0.02734920671647266,0.010242695070571572,-0.12066705762793473,-0.5157236136210199,0.02995497058708712,-0.014526585766361781
-0.13055062804917586,0.6496813607623692,0.7955908862290952,0.2933549406752069,0.07525859734599548,1.5619998673648452,0.15973253314252103,1.7662732030182615,-0.153588974175501,0.15051719469199096,-0.02918190509334519,-0.07218681786248547,0.5252742916802133,1.5005642776946448,0.5406331890977635,0.5160589532296833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016160682548554687,-0.06573990764811279,-0.03173305288973927,-0.01601414575019202,0.01338842739358477,-0.026761702166467616,-0.025326625765383776,0.016067383667184677,-0.013544640330940914,-0.03969622174217487,-0.017143995927818994,-0.1289342769913464,0.019557948915086422,-0.017390362794046692,-0.012014830203104185,0.017521263604866433
-0.1244070690821558,0.19966566642815128,0.07525859734599548,1.7724167619852815,-0.08293804605477054,0.40701078156507764,0.6650402581799193,1.228711793404008,0.20273744591166132,0.33175218421908215,0.15051719469199096,1.3531188624861639,0.7541218632017098,0.9583951988551261,0.5298819609054785,0.3593981995706723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011808720235666328,-0.04851506077533061,-0.020915920844431935,0.009630801198907229,-0.013309387878239792,-0.05561744622027255,-0.015075734118641292,-0.015184910273799777,0.013112832449937236,-0.02818400481570914,-0.01767527340291317,0.002914329534074535,0.021208159521160664,-0.03056144949631622,0.02677907861055836,-0.01378906619808134
-0.12287117934040079,0.1090481716646057,0.10290461269758568,1.0259743474923466,0.04454080251089529,0.40854667130683264,1.228711793404008,0.27338837403239175,0.2641730355818617,0.9445721911793311,1.8092781157874016,0.33789574318610216,0.027646015351590177,1.4314492393156693,0.7433706350094248,0.9461080809210862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076647147479553535,-0.042822584411292525,-0.02180834385324676,-0.017324656760722555,0.01181302613562673,-0.032988832683483724,-0.0173473889086935,-0.01859865323892937,0.014939953380379376,-0.02830789370222471,0.01178263281644975,-0.012453723508412293,-0.011555542955769904,-0.019834869627417415,0.020030374552465237,0.015195399246800871
0.03532546406036523,0.9967924423990014,1.2886114933324533,0.3824365456969974,0.08293804605477054,-0.09676105373056562,1.8307805721719717,0.6389301325700841,-0.155124863917256,0.17969909978533616,0.03993313328563026,-0.07372270760424048,1.0182948987835716,0.6972939427567745,0.6880786043062445,0.6558249197293893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032030353746499247,-0.03176922167293231,-0.017398472206104864,-0.01115912270281007,0.013657910348432764,-0.03741046278069839,-0.014056000347021598,0.013012459200886216,-0.004993103430895109,-0.038719469330926536,-0.01812726182763132,-0.13199638723822493,0.019578889025995496,-0.02097166085419168,0.02962299557314011,0.014025422324691993
0.2319193510050065,0.6650402581799193,0.7141887299160795,0.49916416607037817,-0.17969909978533616,0.8877442707343957,-0.04454080251089529,1.4514158059584845,-0.18891443823586623,0.04454080251089529,-0.03686135380212024,0.5590638659988236,0.5099153942626633,1.1396301883822175,1.5835023237494152,1.3270087368763286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014502186695106369,-0.03970403640783699,-0.03144673625958871,0.009212047950009877,-0.013552290336308198,-0.029834198647662902,-0.0571383357678336,0.01283362922880446,-0.012599550929477758,-0.03517082642860411,-0.04780767963762289,-0.013712647723904814,-0.007101229942531262,-0.024365248676061872,0.014328651834382852,0.01188267330946867
0.26878070480712674,0.9138543963442309,0.9630028680803912,1.3408317445521236,-0.007679448708775049,0.4223696789826277,0.7264758478501196,0.16126842288427606,-0.06297147941195541,0.04607669225265029,0.39933133285630257,0.02611012560983517,1.4437363572497093,1.1519173063162573,1.259429588239108,0.3501828611201423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142244013841237,-0.03197026291503841,-0.01795235846793338,0.015361353827284721,0.01380448612857106,-0.06175550810805972,-0.01570892943617829,-0.016544874432951058,0.013722883728411187,-0.01822326832866062,-0.01830542995969508,-0.01353928552426085,0.021195532362968807,-0.017732564025121075,-0.013560008157260096,-0.01812505977855132
-0.10751228192285069,0.7602654221687299,0.935356852728801,1.6111483391010055,-0.07986626657126052,1.399195554738814,0.7218681786248546,0.3578623098289173,-0.06297147941195541,0.13362240753268587,1.8261729029467066,1.1211995114811573,0.09983283321407564,1.1334866294151973,0.5698150941911088,0.06757914863722043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016923513561685075,-0.066759786966053,-0.02379348185087629,0.013126384136238907,-0.013502792235281794,-0.02949460362961663,-0.022897320434625362,0.010570241068870006,-0.0070816596120044685,-0.014768257897894089,-0.0179785993943464,0.013073082277195603,-0.07586498081767512,-0.03477201037820832,0.014407988560775376,-0.014257409323072947
